Frame	Time	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3
194	0.965	845.58563	-1203.7041	1097.20154	829.75165	-1253.07214	1202.70911	781.88721	-1412.47754	1546.15198
195	0.97	845.9696	-1201.17212	1101.10645	828.90131	-1250.89099	1206.07275	777.13892	-1413.86108	1547.28003
196	0.975	846.16754	-1198.49915	1104.53027	827.93701	-1249.2854	1208.81299	771.91101	-1414.94312	1547.87903
197	0.98	846.34003	-1195.66956	1107.51147	826.8194	-1247.45911	1211.17712	767.04834	-1416.15295	1548.24194
198	0.985	846.21741	-1193.31555	1110.0675	825.60626	-1245.95203	1213.04834	762.35126	-1416.97961	1548.15149
199	0.99	846.01172	-1191.13928	1112.01038	824.33765	-1244.22131	1214.47449	757.46625	-1417.8407	1547.69373
200	0.995	845.67285	-1189.17395	1113.6283	822.80237	-1243.03418	1215.40051	752.51141	-1418.33655	1546.92053
201	1	845.0144	-1187.34497	1114.58179	821.25616	-1241.54431	1216.01965	747.88861	-1418.98499	1545.66772
202	1.005	844.26178	-1185.42029	1115.21265	819.65454	-1240.3136	1215.99756	743.15137	-1419.53296	1544.15161
203	1.01	843.35303	-1183.85767	1115.16345	817.89166	-1239.39063	1215.58752	738.43579	-1419.45581	1542.19702
204	1.015	842.13708	-1182.56604	1114.72449	815.86249	-1238.46606	1214.69165	733.86676	-1419.9043	1540.01636
205	1.02	840.97498	-1181.3479	1113.65942	813.78113	-1237.71545	1213.24658	729.16718	-1419.62134	1537.3938
206	1.025	839.49091	-1180.59875	1112.13257	811.63556	-1236.48364	1211.47583	724.61877	-1419.92407	1534.40405
207	1.03	837.8349	-1179.55981	1110.22839	809.33136	-1236.22998	1209.03406	719.90765	-1419.53931	1531.19287
208	1.035	836.08807	-1178.89209	1107.62793	806.74359	-1235.56384	1206.36194	715.24042	-1419.81384	1527.63928
209	1.04	834.25958	-1178.37695	1104.68628	804.33813	-1235.17908	1203.04688	710.55756	-1419.49622	1523.73743
210	1.045	832.18872	-1178.02222	1101.3385	801.53717	-1234.76807	1199.41956	705.68524	-1418.95386	1519.39844
211	1.05	829.84924	-1177.92102	1097.38831	798.79584	-1234.65552	1195.38196	700.91632	-1419.40344	1514.86633
212	1.055	827.59033	-1177.7948	1093.04736	795.87585	-1234.61133	1190.93298	695.92249	-1418.82239	1509.88672
213	1.06	825.14337	-1178.20044	1088.43311	792.69366	-1234.47253	1186.27795	691.08466	-1418.95166	1504.77075
